City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
339,xining,36.6167,101.7667,11.62,54,100,1.06,CN,1686174868
340,walvis bay,-22.9575,14.5053,13.38,93,0,0.51,NA,1686116268
341,zyryanovsk,49.7386,84.2719,19.87,66,100,1.46,KZ,1686176190
342,sinabang,2.4803,96.3801,26.37,79,100,1.56,ID,1686180346
343,banda aceh,5.5577,95.3222,26.39,77,97,5.15,ID,1686180286
344,ciudad miguel aleman,26.35,-99.1,35.37,36,16,3.5,MX,1686138199
345,sao joao da barra,-21.6403,-41.0511,25.05,75,1,4.71,BR,1686129450
346,piestany,48.5948,17.8259,17.39,96,20,1.54,SK,1686106080
347,lakehills,29.6047,-98.9431,29.07,69,99,1.16,US,1686137721
348,chom bueng,13.62,99.5917,25.94,78,100,3.37,TH,1686178415
349,nantucket,41.2835,-70.0995,19.08,75,100,5.66,US,1686128869
350,trinidad,-14.8333,-64.9,31.99,62,20,2.06,BO,1686134418
351,myitkyina,25.3833,97.4,24.54,98,96,0.71,MM,1686177563
352,dryden,49.7833,-92.7503,20.16,40,100,2.06,CA,1686132276
353,horta,38.5333,-28.6333,18.8,77,40,4.47,PT,1686119437
354,chinde,26.8418,88.0763,21.84,48,53,2.16,NP,1686179610
355,puerto aysen,-45.4,-72.7,7.02,93,100,3.6,CL,1686140685
356,lazaro cardenas,17.9583,-102.2,30.54,57,34,4.58,MX,1686139962
357,tamanrasset,22.785,5.5228,31.95,11,20,3.09,DZ,1686113540
358,borba,-4.3878,-59.5939,26.98,84,100,0.74,BR,1686132066
359,rengo,-34.4167,-70.8667,21.18,58,98,0.35,CL,1686138279
360,dudinka,69.4058,86.1778,9.79,91,79,4.0,RU,0
361,lagos,6.5833,3.75,27.18,93,100,2.23,NG,1686115753
